text,retweet_count,like_count,quote_count,processed_text,vectorized_processed_text,score,rounded_score
2021-11-10T19:49:28.000Z,0,0,0,['2021-11-10t19:49:28.000z'],[0 0 0 ... 0 0 0],0,0
2021-11-11T17:17:01.000Z,0,0,0,['2021-11-11t17:17:01.000z'],[0 0 0 ... 0 0 0],0,0
1458871465818927104,57,0,0,['1458871465818927104'],[0 0 0 ... 0 0 0],57,55
2021-11-11T00:31:13.000Z,0,0,0,['2021-11-11t00:31:13.000z'],[0 0 0 ... 0 0 0],0,0
1458474560429256719,0,0,0,['1458474560429256719'],[0 0 0 ... 0 0 0],0,0
1458870766997495811,15,0,0,['1458870766997495811'],[0 0 0 ... 0 0 0],15,15
2021-11-11T18:57:10.000Z,368,0,0,['2021-11-11t18:57:10.000z'],[0 0 0 ... 0 0 0],368,370
2021-11-11T18:56:09.000Z,2,0,0,['2021-11-11t18:56:09.000z'],[0 0 0 ... 0 0 0],2,0
2021-11-11T18:57:07.000Z,14,0,0,['2021-11-11t18:57:07.000z'],[0 0 0 ... 0 0 0],14,15
1458862335733473290,4,0,0,['1458862335733473290'],[0 0 0 ... 0 0 0],4,5
1458832454605754368,3,0,0,['1458832454605754368'],[0 0 0 ... 0 0 0],3,5
2021-11-11T06:31:24.000Z,0,0,0,['2021-11-11t06:31:24.000z'],[0 0 0 ... 0 0 0],0,0
2021-11-11T14:39:16.000Z,6,26,0,['2021-11-11t14:39:16.000z'],[0 0 0 ... 0 0 0],32,30
1458870089869053952,6,0,0,['1458870089869053952'],[0 0 0 ... 0 0 0],6,5
"RT @BestVocalistTae: -Most sucbribed bts mem on Bilibilli., #7 in kpop without solo activity &amp; promo in China.

- Most buyed albums in enti…",174,0,0,"['rt', '@', 'bestvocalistta', ':', '-most', 'sucbrib', 'bt', 'mem', 'bilibilli.', ',', '#', '7', 'kpop', 'without', 'solo', 'activ', '&', 'amp', ';', 'promo', 'china', '.', '-', 'most', 'buy', 'album', 'enti…']",[1 1 0 ... 0 0 0],174,175
2021-11-11T14:39:36.000Z,3,0,0,['2021-11-11t14:39:36.000z'],[0 0 0 ... 0 0 0],3,5
2021-11-11T18:53:48.000Z,0,2,0,['2021-11-11t18:53:48.000z'],[0 0 0 ... 0 0 0],2,0
1458621333802082304,1,0,0,['1458621333802082304'],[0 0 0 ... 0 0 0],1,0
2021-11-11T16:55:24.000Z,7,0,0,['2021-11-11t16:55:24.000z'],[0 0 0 ... 0 0 0],7,5
Have you signed up for our mailing list yet? Be quick. New updates are coming soon! https://t.co/3lbRFwmnHI https://t.co/XZvifbrKer,0,2,0,"['have', 'sign', 'mail', 'list', 'yet', '?', 'be', 'quick', '.', 'new', 'updat', 'come', 'soon', '!', 'http', ':', '//t.co/3lbrfwmnhi', 'http', ':', '//t.co/xzvifbrk']",[0 0 0 ... 0 0 0],2,0
